constituency,total_facilities,weighted_score,level_2_count,level_3_count,level_4_count,level_5_count,level_6_count
DAGORETTI NORTH,28,40,21,4,2,0,1
DAGORETTI SOUTH,48,65,31,17,0,0,0
EMBAKASI CENTRAL,41,55,27,14,0,0,0
EMBAKASI EAST,40,57,24,15,1,0,0
EMBAKASI NORTH,26,32,20,6,0,0,0
EMBAKASI SOUTH,24,32,16,8,0,0,0
EMBAKASI WEST,27,35,20,6,1,0,0
KAMUKUNJI,34,56,15,17,1,1,0
KASARANI,48,54,42,6,0,0,0
KIBRA,64,93,48,6,8,1,1
LANGATA,60,82,46,7,6,1,0
MAKADARA,43,49,39,2,2,0,0
MATHARE,15,24,10,3,1,0,1
ROYSAMBU,61,68,55,5,1,0,0
RUARAKA,26,34,18,8,0,0,0
STAREHE,136,150,126,6,4,0,0
WESTLANDS,61,75,52,5,3,1,0
